LS,HS,Year,Round,High Seed,Low Seed,Spread,FavScore,DawgScore,Site,Distance from LS,Distance from HS,,,,,,,,,,,,,,,,,
2,15,2017,R64,Louisville,Jacksonville State,-20.5,78,63,Indianapolis IN,107,411,,,,,,,,,,,,,,,,,
1,16,2017,R64,UNC,Texas Southern,-25.5,103,64,Greenville SC,202,835,,,,,,,,,,,,,,,,,
8,9,2017,R64,Arkansas,Seton Hall,-1,77,71,Greenville SC,668,603,,,,,,,,,,,,,,,,,
5,12,2017,R64,Minnesota,Middle Tennessee,-1,72,81,Milwaukee WI,296,504,,,,,,,,,,,,,,,,,
4,13,2017,R64,Butler,Winthrop,-11,76,64,Milwaukee WI,239,670,,,,,,,,,,,,,,,,,
6,11,2017,R64,Cincinnati,Kansas State,-3.5,75,61,Sacramento CA,1976,1337,,,,,,,,,,,,,,,,,
3,14,2017,R64,UCLA,Kent State,-18,97,80,Sacramento CA,355,2118,,,,,,,,,,,,,,,,,
2,15,2017,R64,Kentucky,Northern Kentucky,-19.5,79,70,Indianapolis IN,149,104,,,,,,,,,,,,,,,,,
1,16,2017,R64,Gonzaga,South Dakota State,-22.5,66,46,Salt Lake City,549,805,,,,,,,,,,,,,,,,,
8,9,2017,R64,Northwestern,Vanderbilt,1,68,66,Salt Lake City,1254,1389,,,,,,,,,,,,,,,,,
5,12,2017,R64,Notre Dame,Princeton,-7,60,58,Buffalo NY,385,280,,,,,,,,,,,,,,,,,
4,13,2017,R64,West Virginia,Bucknell,-14,86,80,Buffalo NY,232,168,,,,,,,,,,,,,,,,,
6,11,2017,R64,Maryland,Xavier,-2,65,76,Orlando FL,765,754,,,,,,,,,,,,,,,,,
3,14,2017,R64,Florida State,Florida Gulf Coast,-12,86,80,Orlando FL,219,146,,,,,,,,,,,,,,,,,
7,10,2017,R64,Saint Mary's,VCU,-4.5,85,77,Salt Lake City,582,1847,,,,,,,,,,,,,,,,,
2,15,2017,R64,Arizona,North Dakota,-16.5,100,82,Salt Lake City,592,695,,,,,,,,,,,,,,,,,
1,16,2016,R64,Virginia,Hampton,-24,81,45,Raleigh NC,156,154,,,,,,,,,,,,,,,,,
8,9,2016,R64,Texas Tech,Butler,4,61,71,Raleigh NC,1325,497,,,,,,,,,,,,,,,,,
1,16,2016,R64,UNC,Florida Gulf Coast,-22,83,67,Raleigh NC,24,670,,,,,,,,,,,,,,,,,
8,9,2016,R64,Providence,USC,-2,70,69,Raleigh NC,571,2235,,,,,,,,,,,,,,,,,
5,12,2016,R64,Indiana,Chattanooga,-12,99,74,Des Moines IA,409,638,,,,,,,,,,,,,,,,,
4,13,2016,R64,Kentucky,Stony Brook,-14,85,57,Des Moines IA,542,1064,,,,,,,,,,,,,,,,,
6,11,2016,R64,Notre Dame,Michigan,-3,70,63,Brooklyn NY,642,519,,,,,,,,,,,,,,,,,
3,14,2016,R64,West Virginia,Stephen F. Austin,-7,56,70,Brooklyn NY,326,1310,,,,,,,,,,,,,,,,,
7,10,2016,R64,Wisconsin,Pittsburgh,-2,47,43,St Louis MO,310,558,,,,,,,,,,,,,,,,,
2,15,2016,R64,Xavier,Weber State,-13.5,71,53,St Louis MO,310,1164,,,,,,,,,,,,,,,,,
4,13,2016,R64,Iowa State,Iona,-7.5,94,81,Des Moines IA,30,1029,,,,,,,,,,,,,,,,,
5,12,2016,R64,Purdue,Little Rock,-9,83,85,Des Moines IA,359,478,,,,,,,,,,,,,,,,,
3,14,2016,R64,Utah,Fresno State,-9,80,69,Providence RI,2081,2573,,,,,,,,,,,,,,,,,
6,11,2016,R64,Seton Hall,Gonzaga,1.5,52,68,Providence RI,164,2258,,,,,,,,,,,,,,,,,
2,15,2016,R64,Michigan State,Middle Tennessee,-18,81,90,St Louis MO,411,284,,,,,,,,,,,,,,,,,
7,10,2016,R64,Dayton,Syracuse,-1,51,70,St Louis MO,331,794,,,,,,,,,,,,,,,,,
8,9,2016,R64,Colorado,UConn,3.5,67,74,Des Moines IA,618,1100,,,,,,,,,,,,,,,,,
5,12,2016,R64,Maryland,South Dakota State,-9.5,79,74,Des Moines IA,896,247,,,,,,,,,,,,,,,,,
4,13,2016,R64,California,Hawaii,-6.5,66,77,Des Moines IA,1536,3939,,,,,,,,,,,,,,,,,
3,14,2016,R64,Miami FL,Buffalo,-14.5,79,72,Providence RI,1205,387,,,,,,,,,,,,,,,,,
6,11,2016,R64,Arizona,Wichita State,-2,55,65,Providence RI,2257,1398,,,,,,,,,,,,,,,,,
7,10,2016,R64,Iowa,Temple,-7.5,72,70,Brooklyn NY,916,80,,,,,,,,,,,,,,,,,
2,15,2016,R64,Villanova,UNC Asheville,-17.5,86,56,Brooklyn NY,86,584,,,,,,,,,,,,,,,,,
1,16,2016,R64,Oregon,Holy Cross,-23.5,91,52,Anaheim CA,758,2543,,,,,,,,,,,,,,,,,
8,9,2016,R64,Saint Joseph's,Cincinnati,-1.5,78,76,Anaheim CA,2372,1880,,,,,,,,,,,,,,,,,
4,13,2016,R64,Duke,UNC Wilmington,-10,93,85,Providence RI,570,631,,,,,,,,,,,,,,,,,
5,12,2016,R64,Baylor,Yale,-5,75,79,Providence RI,1584,86,,,,,,,,,,,,,,,,,
3,14,2016,R64,Texas A&M,Green Bay,-13,92,65,Anaheim CA,1278,1750,,,,,,,,,,,,,,,,,
6,11,2016,R64,Texas,Northern Iowa,-4.5,72,75,Anaheim CA,1205,1499,,,,,,,,,,,,,,,,,
7,10,2016,R64,Oregon State,VCU,4.5,67,75,Anaheim CA,794,2268,,,,,,,,,,,,,,,,,
2,15,2016,R64,Oklahoma,Cal State Bakersfield,-14.5,82,68,Anaheim CA,1167,123,,,,,,,,,,,,,,,,,
1,16,2015,R64,Villanova,Lafayette,-23,93,52,Pittsburgh PA,247,252,,,,,,,,,,,,,,,,,
8,9,2015,R64,NC State,LSU,-2,66,65,Pittsburgh PA,330,935,,,,,,,,,,,,,,,,,
5,12,2015,R64,Northern Iowa,Wyoming,-6,71,54,Seattle WA,1490,931,,,,,,,,,,,,,,,,,
4,13,2015,R64,Louisville,UC Irvine,-8,57,55,Seattle WA,1940,993,,,,,,,,,,,,,,,,,
3,14,2015,R64,Oklahoma,Albany NY,-12.5,69,60,Columbus OH,854,511,,,,,,,,,,,,,,,,,
7,10,2015,R64,Michigan State,Georgia,-5.5,70,63,Charlotte NC,552,169,,,,,,,,,,,,,,,,,
2,15,2015,R64,Virginia,Belmont,-16.5,79,67,Charlotte NC,233,340,,,,,,,,,,,,,,,,,
1,16,2015,R64,Kentucky,Hampton,-34,79,56,Louisville KY,70,522,,,,,,,,,,,,,,,,,
8,9,2015,R64,Cincinnati,Purdue,1,66,65,Louisville KY,91,162,,,,,,,,,,,,,,,,,
5,12,2015,R64,West Virginia,Buffalo,-4.5,68,62,Columbus OH,163,296,,,,,,,,,,,,,,,,,
4,13,2015,R64,Maryland,Valparaiso,-4.5,65,62,Columbus OH,330,236,,,,,,,,,,,,,,,,,
6,11,2015,R64,Butler,Texas,1.5,56,48,Pittsburgh PA,328,1217,,,,,,,,,,,,,,,,,
3,14,2015,R64,Notre Dame,Northeastern,-11.5,69,65,Pittsburgh PA,336,480,,,,,,,,,,,,,,,,,
7,10,2015,R64,Wichita State,Indiana,-5.5,81,76,Omaha NE,255,517,,,,,,,,,,,,,,,,,
2,15,2015,R64,Kansas,New Mexico State,-10.5,75,56,Omaha NE,163,860,,,,,,,,,,,,,,,,,
1,16,2015,R64,Duke,Robert Morris,-22,85,56,Charlotte NC,120,380,,,,,,,,,,,,,,,,,
8,9,2015,R64,San Diego State,St. John's,-3.5,76,64,Charlotte NC,2071,540,,,,,,,,,,,,,,,,,
5,12,2015,R64,Utah,Stephen F. Austin,-6,57,50,Portland OR,636,1779,,,,,,,,,50,1,Portland OR,636,1779,1143,,,
4,13,2015,R64,Georgetown,Eastern Washington,-8,84,74,Portland OR,2345,290,,,,,,,,,,,,,,,,,
6,11,2015,R64,SMU,UCLA,-4,59,60,Louisville KY,723,1836,,,,,,,,,,,,,,,,,
3,14,2015,R64,Iowa State,UAB,-14,59,60,Louisville KY,491,333,,,,,,,,,,,,,,,,,
7,10,2015,R64,Iowa,Davidson,-2.5,83,52,Seattle WA,1558,2270,,,,,,,,,,,,,,,,,
2,15,2015,R64,Gonzaga,North Dakota State,-18,86,76,Seattle WA,230,1193,,,,,,,,,,,,,,,,,
1,16,2015,R64,Wisconsin,Coastal Carolina,-19.5,86,72,Omaha NE,357,1058,,,,,,,,,,,,,,,,,
8,9,2015,R64,Oregon,Oklahoma State,-1.5,79,73,Omaha NE,1387,360,,,,,,,,,,,,,,,,,
5,12,2015,R64,Arkansas,Wofford,-7.5,56,53,Jacksonville FL,824,318,,,,,,,,,,,,,,,,,
4,13,2015,R64,UNC,Harvard,-10,67,65,Jacksonville FL,414,1016,,,,,,,,,,,,,,,,,
6,11,2015,R64,Xavier,Ole Miss,-3,76,57,Jacksonville FL,630,538,,,,,,,,,,,,,,,,,
3,14,2015,R64,Baylor,Georgia State,-9,56,57,Jacksonville FL,921,285,,,,,,,,,,,,,,,,,
7,10,2015,R64,VCU,Ohio State,4,72,75,Portland OR,2370,2026,,,,,,,,,,,,,,,,,
2,15,2015,R64,Arizona,Texas Southern,-23.5,93,72,Portland OR,1110,1835,,,,,,,,,,,,,,,,,
1,16,2014,R64,Virginia,Coastal Carolina,-22,70,59,Raleigh NC,156,139,,,,,,,,,,,,,,,,,
8,9,2014,R64,Memphis,George Washington,-1.5,71,66,Raleigh NC,643,233,,,,,,,,,,,,,,,,,
5,12,2014,R64,Cincinnati,Harvard,-3.5,57,61,Spokane WA,1739,2257,,,,,,,,,,,,,,,,,
4,13,2014,R64,Michigan State,Delaware,-14,93,78,Spokane WA,1628,2127,,,,,,,,,,,,,,,,,
6,11,2014,R64,UNC,Providence,-3.5,79,77,San Antonio TX,1214,1735,,,,,,,,,,,,,,,,,
3,14,2014,R64,Iowa State,North Carolina Central,-11,93,75,San Antonio TX,912,1223,,,,,,,,,,,,,,,,,
7,10,2014,R64,UConn,Saint Joseph's,-4.5,89,81,Buffalo NY,346,274,,,,,,,,,,,,,,,,,
2,15,2014,R64,Villanova,Milwaukee,-17,73,53,Buffalo NY,269,456,,,,,,,,,,,,,,,,,
8,9,2014,R64,Kentucky,Kansas State,-4,56,49,St Louis MO,311,345,,,,,,,,,,,,,,,,,
4,13,2014,R64,Louisville,Manhattan,-14.5,71,64,Orlando FL,714,942,,,,,,,,,,,,,,,,,
3,14,2014,R64,Duke,Mercer,-14,71,78,Raleigh NC,23,350,,,,,,,,,,,,,,,,,
7,10,2014,R64,Texas,Arizona State,-1.5,87,85,Milwaukee WI,1034,1457,,,,,,,,,,,,,,,,,
2,15,2014,R64,Michigan,Wofford,-19,57,40,Milwaukee WI,218,645,,,,,,,,,,,,,,,,,
1,16,2014,R64,Florida,Albany NY,-21,67,55,Orlando FL,97,1065,,,,,,,,,,,0,0,0,0,FALSE,FALSE,FALSE
8,9,2014,R64,Colorado,Pitt ,5.5,48,77,Orlando FL,1570,826,,,,,,,,,,,,,,,,,
5,12,2014,R64,VCU,Stephen F. Austin,-6.5,75,77,San Diego CA,2252,1316,,,,,,,,,,,,,,,,,
4,13,2014,R64,UCLA,Tulsa,-9,76,59,San Diego CA,119,1227,,,,,,,,,,,,,,,,,
6,11,2014,R64,Ohio State,Dayton,-5,59,60,Buffalo NY,293,350,,,,,,,,,,,,,,,,,
3,14,2014,R64,Syracuse,Western Michigan,-13,77,53,Buffalo NY,139,344,,,,,,,,,,,,,,,,,
7,10,2014,R64,New Mexico,Stanford,-3,53,58,St Louis MO,940,1733,,,,,,,,,,,,,,,,,
2,15,2014,R64,Kansas,Eastern Kentucky,-15.5,80,69,St Louis MO,273,326,,,,,,,,,,,,,,,,,
1,16,2014,R64,Arizona,Weber State,-21,68,59,San Diego CA,364,654,,,,,,,,,,,,,,,,,
8,9,2014,R64,Gonzago,Oklahoma State,1.5,85,77,San Diego CA,1033,1167,,,,,,,,,,,,,,,,,
5,12,2014,R64,Oklahoma,North Dakota State,-4.5,75,80,Spokane WA,1338,965,,,,,,,,,,,,,,,,,
4,13,2014,R64,San Diego State,New Mexico State,-8,73,69,Spokane WA,1029,1201,,,,,,,,,,,,,,,,,
6,11,2014,R64,Baylor,Nebraska,-3.5,74,60,San Antonio TX,167,793,,,,,,,,,,,,,,,,,
3,14,2014,R64,Creighton,Louisiana,-14.5,76,66,San Antonio TX,830,392,,,,,,,,,,,,,,,,,
7,10,2014,R64,Oregon,BYU,-4,87,68,Milwaukee WI,1750,1237,,,,,,,,,,,,,,,,,
2,15,2014,R64,Wisconsin,American,-15,75,35,Milwaukee WI,75,631,,,,,,,,,,,,,,,,,
1,16,2013,R64,Kansas,Western Kentucky,-20,64,57,Kansas City MO,36.00,464.00,,,,,,,,,,,,,,,,,
1,16,2013,R64,Gonzaga,Southern,-21.5,64,58,Salt Lake City UT,549.00,"1,355.00",,,,,,,,,,,,,,,,,
2,15,2013,R64,Duke,Albany,-17.5,73,61,Philadelphia PA,342.00,201.00,,,,,,,,,,,,,,,,,
2,15,2013,R64,Georgetown,Florida Gulf Coast,-13,68,78,Philadelphia PA,125.00,"1,007.00",,,,,,,,,,,,,,,,,
2,15,2013,R64,Ohio State,Iona,-13.5,95,70,Dayton OH,64.00,551.00,,,,,,,,,,,,,,,,,
2,15,2013,R64,Miami,Pacific,-12.5,78,49,Austin TX,"1,110.00","1,445.00",,,,,,,,,,,,,,,,,
3,14,2013,R64,Michigan State,Valparaiso,-10,65,54,Auburn Hills MI,64.00,214.00,,,,,,,,,,,,,,,,,
3,14,2013,R64,Marquette,Davidson,-3.5,59,58,Lexington KY,389.00,268.00,,,,,,,,,,,,,,,,,
3,14,2013,R64,New Mexico,Harvard,-11,62,68,Salt Lake City UT,485.00,"2,090.00",,,,,,,,,,,,,,,,,
3,14,2013,R64,Florida,Northwestern State,-20.5,79,47,Austin TX,922.00,293.00,,,,,,,,,,,,,,,,,
4,13,2013,R64,St. Louis,New Mexico State,-9,64,44,San Jose CA,"1,717.00",926.00,,,,,,,,,,,,,,,,,
4,13,2013,R64,Michigan,South Dakota,-11,71,56,Auburn Hills MI,39.00,689.00,,,,,,,,,,,,,,,,,
4,13,2013,R64,Syracuse,Montana,-13.5,81,34,San Jose CA,"2,416.00",772.00,,,,,,,,,,,,,,,,,
5,12,2013,R64,Oklahoma State,Oregon,-3,55,68,San Jose CA,"1,373.00",468.00,,,,,,,,,,,,,,,,,
5,12,2013,R64,VCU,Akron,-7,88,42,Auburn Hills MI,468.00,142.00,,,,,,,,,,,,,,,,,
5,12,2013,R64,Wisconsin,Ole Miss,-5,46,57,Kansas City MO,384.00,430.00,,,,,,,,,,,,,,,,,
5,12,2013,R64,UNLV,California,-2,61,64,Dayton OH,"1,697.00","2,038.00",,,,,,,,,,,,,,,,,
6,11,2013,R64,Butler,Bucknell,-3,68,56,Lexington KY,153.00,453.00,,,,,,,,,,,,,,,,,
6,11,2013,R64,Arizona,Belmont,-4.5,81,64,Salt Lake City UT,592.00,"1,390.00",,,,,,,,,,,,,,,,,
6,11,2013,R64,UCLA,Minnesota,-11,63,83,Austin TX,"1,237.00","1,045.00",,,,,,,,,,,,,,,,,
7,10,2013,R64,Creighton,Cincinnati,-3,67,63,Philadelphia PA,"1,091.00",501.00,,,,,,,,,,,,,,,,,
7,10,2013,R64,Illinois,Colorado,-1.5,57,49,Austin TX,865.00,795.00,,,,,,,,,,,,,,,,,
7,10,2013,R64,South Dakota State,Oklahoma,-2.5,0,0,Kansas City MO,378.00,312.00,,,,,,,,,,,,,,,,,
7,10,2013,R64,Notre Dame,Iowa State,-1,58,76,Dayton OH,172.00,518.00,,,,,,,,,,,,,,,,,
8,9,2013,R64,Colorado State,Missouri,3,84,72,Lexington KY,"1,112.00",428.00,,,,,,,,,,,,,,,,,
8,9,2013,R64,Temple,NC State,4,72,76,Dayton OH,479.00,407.00,,,,,,,,,,,,,,,,,
8,9,2013,R64,Pittsburgh,Wichita State,-4.5,55,73,Salt Lake City UT,"1,666.00",808.00,,,,,,,,,,,,,,,,,
8,9,2013,R64,UNC,Villanova,-3.5,78,71,Kansas City MO,878.00,"1,025.00",,,,,,,,,,,,,,,,,
6,11,2012,R64,Murray State,Colorado State,-3.5,58,41,Louisville KY,180.00,"1,042.00",,,,,,,,,,,,,,,,,
5,12,2012,R64,New Mexico,Long Beach State,-4.5,75,68,Portland OR,"1,106.00",845.00,,,,,,,,,,,,,,,,,
7,10,2012,R64,Florida,Virginia,-3.5,71,45,Omaha NE,"1,105.00",952.00,,,,,,,,,,,,,,,,,
1,16,2012,R64,Michigan State,LIU Brooklyn,-20,89,67,Columbus OH,204.00,477.00,,,,,,,,,,,,,,,,,
8,9,2012,R64,Memphis,Saint Louis,-3.5,54,61,Columbus OH,509.00,397.00,,,,,,,,,,,,,,,,,
4,13,2012,R64,Louisville,Davidson,-7.5,69,62,Portland OR,"1,945.00","2,275.00",,,,,,,,,,,,,,,,,
2,15,2012,R64,Missouri,Norfolk State,-21.5,84,86,Omaha NE,249.00,"1,093.00",,,,,,,,,,,,,,,,,
8,9,2012,R64,Iowa State,Connecticut,-2.5,77,64,Louisville KY,491.00,755.00,,,,,,,,,,,,,,,,,
7,10,2012,R64,Notre Dame,Xavier,-2.5,63,67,Greensboro NC,521.00,333.00,,,,,,,,,,,,,,,,,
6,11,2012,R64,UNLV,Colorado,-4,64,68,Albuquerque NM,482.00,349.00,,,,,,,,,,,,,,,,,
4,13,2012,R64,Indiana,New Mexico State,-6,79,66,Portland OR,"1,881.00","1,248.00",,,,,,,,,,,,,,,,,
2,15,2012,R64,Duke,Lehigh,-12.5,70,75,Greensboro NC,48.00,394.00,,,,,,,,,,,,,,,,,
3,14,2012,R64,Baylor,South Dakota State,-7.5,68,60,Albuquerque NM,602.00,824.00,,,,,,,,,,,,,,,,,
5,12,2012,R64,Wichita State,Virginia Commonwealth,-5.5,59,62,Portland OR,"1,410.00","2,370.00",,,,,,,,,,,,,,,,,
8,9,2012,R64,Creighton,Alabama,-2,58,57,Omaha NE,0.00,721.00,,,,,,,,,,,,,,,,,
7,10,2012,R64,St. Mary's,Purdue,-1.5,69,72,Omaha NE,"1,417.00",475.00,,,,,,,,,,,,,,,,,
2,15,2012,R64,Kansas,Detroit,-14,65,50,Omaha NE,162.00,663.00,,,,,,,,,,,,,,,,,
3,14,2012,R64,Georgetown,Belmont,-3.5,74,59,Columbus OH,324.00,335.00,,,,,,,,,,,,,,,,,
6,11,2012,R64,San Diego State,North Carolina State,2,65,79,Columbus OH,"1,947.00",392.00,,,,,,,,,,,,,,,,,
4,13,2012,R64,Michigan,Ohio,-6,60,65,Nashville TN,453.00,336.00,,,,,,,,,,,,,,,,,
3,14,2012,R64,Florida State,St. Bonaventure,-7,66,63,Nashville TN,420.00,604.00,,,,,,,,,,,,,,,,,
1,16,2012,R64,Syracuse,UNC-Asheville,-15,72,65,Pittsburgh PA,266.00,366.00,,,,,,,,,,,,,,,,,
7,10,2012,R64,Gonzaga,West Virginia,-1,77,54,Pittsburgh PA,"1,905.00",56.00,,,,,,,,,,,,,,,,,
4,13,2012,R64,Wisconsin,Montana,-9,73,49,Albuquerque NM,"1,074.00",898.00,,,,,,,,,,,,,,,,,
6,11,2012,R64,Cincinnati,Texas,-2,65,59,Nashville TN,240.00,751.00,,,,,,,,,,,,,,,,,
8,9,2012,R64,Kansas State,Southern Miss,-5.5,70,64,Pittsburgh PA,885.00,819.00,,,,,,,,,,,,,,,,,
2,15,2012,R64,Ohio State,Loyola (Maryland),-17.5,78,59,Pittsburgh PA,165.00,192.00,,,,,,,,,,,,,,,,,
5,12,2012,R64,Vanderbilt,Harvard,-6.5,79,70,Albuquerque NM,"1,115.00","1,965.00",,,,,,,,,,,,,,,,,
4,13,2011,R64,Louisville,Morehead State,-9,61,62,"Pepsi Center, Denver, CO","1,037.00","1,161.00",,,,,,,,,,,,,,,,,
7,10,2011,R64,Temple,Penn State,-2.5,66,64,"McKale Center, Tucson, AZ","2,054.00","1,918.00",,,,,,,,,,,,,,,,,
5,12,2011,R64,Vanderbilt,Richmond,-2,66,69,"Pepsi Center, Denver, CO","1,021.00","1,484.00",,,,,,,,,,,,,,,,,
2,15,2011,R64,San Diego State,Northern Colorado,-16,68,50,"McKale Center, Tucson, AZ",359.00,663.00,,,,,,,,,,,,,,,,,
3,14,2011,R64,Connecticut,Bucknell,-10,81,52,"Verizon Center, Washington, DC",322.00,142.00,,,,,,,,,,,,,,,,,
6,11,2011,R64,Cincinnati,Missouri,1,78,63,"Verizon Center, Washington, DC",403.00,822.00,,,,,,,,,,,,,,,,,
4,13,2011,R64,Kentucky,Princeton,-13,59,57,"St. Pete Times Forum, Tampa, FL",707.00,965.00,,,,,,,,,,,,,,,,,
8,9,2011,R64,Butler,Old Dominion,2,60,58,"Verizon Center, Washington, DC",493.00,144.00,,,,,,,,,,,,,,,,,
2,15,2011,R64,Florida,UC Santa Barbara,-13,79,51,"St. Pete Times Forum, Tampa, FL",118.00,"2,242.00",,,,,,,,,,,,,,,,,
3,14,2011,R64,BYU,Wofford,-8,74,66,"Pepsi Center, Denver, CO",353.00,"1,306.00",,,,,,,,,,,,,,,,,
4,13,2011,R64,Wisconsin,Belmont,-4.5,72,58,"McKale Center, Tucson, AZ","1,391.00","1,403.00",,,,,,,,,,,,,,,,,
7,10,2011,R64,UCLA,Michigan State,2,78,76,"St. Pete Times Forum, Tampa, FL","2,162.00","1,026.00",,,,,,,,,,,,,,,,,
6,11,2011,R64,St. Johns,Gonzaga,-2,71,86,"Pepsi Center, Denver, CO","1,639.00",824.00,,,,,,,,,,,,,,,,,
5,12,2011,R64,Kansas State,Utah State,-2,73,68,"McKale Center, Tucson, AZ",937.00,659.00,,,,,,,,,,,,,,,,,
2,15,2011,R64,Notre Dame,Akron,-13.5,69,56,"United Center, Chicago, IL",75.00,324.00,,,,,,,,,,,,,,,,,
7,10,2011,R64,Texas A&M,Florida State,1,50,57,"United Center, Chicago, IL",915.00,812.00,,,,,,,,,,,,,,,,,
1,16,2011,R64,Kansas,Boston University,-22.5,72,53,"BOK Center, Tulsa, OK",198.00,"1,393.00",,,,,,,,,,,,,,,,,
3,14,2011,R64,Purdue,St. Peters,-14,65,43,"United Center, Chicago, IL",108.00,709.00,,,,,,,,,,,,,,,,,
8,9,2011,R64,UNLV,Illinois,-2,62,73,"BOK Center, Tulsa, OK","1,067.00",502.00,,,,,,,,,,,,,,,,,
4,13,2011,R64,Texas,Oakland,-9.5,85,81,"BOK Center, Tulsa, OK",418.00,816.00,,,,,,,,,,,,,,,,,
5,12,2011,R64,Arizona,Memphis,-5.5,77,75,"BOK Center, Tulsa, OK",896.00,347.00,,,,,,,,,,,,,,,,,
8,9,2011,R64,Michigan,Tennessee,1.5,85,45,"Time Warner Cable Arena, Charlotte, NC",512.00,180.00,,,,,,,,,,,,,,,,,
1,16,2011,R64,Duke,Hampton,-22,87,45,"Time Warner Cable Arena, Charlotte, NC",120.00,280.00,,,,,,,,,,,,,,,,,
8,9,2011,R64,George Mason,Villanova,-1,61,57,"Quicken Loans Arena, Cleveland, OH",296.00,347.00,,,,,,,,,,,,,,,,,
2,15,2011,R64,North Carolina,Long Island,-17.5,102,87,"Time Warner Cable Arena, Charlotte, NC",111.00,530.00,,,,,,,,,,,,,,,,,
6,11,2011,R64,Xavier,Marquette,-2,55,66,"Quicken Loans Arena, Cleveland, OH",219.00,337.00,,,,,,,,,,,,,,,,,
7,10,2011,R64,Washington,Georgia,-5.5,68,65,"Time Warner Cable Arena, Charlotte, NC","2,280.00",169.00,,,,,,,,,,,,,,,,,
3,14,2011,R64,Syracuse,Indiana State,-11.5,77,60,"Quicken Loans Arena, Cleveland, OH",303.00,332.00,,,,,,,,,,,,,,,,,
