LS,HS,Year,Round,High Seed,Low Seed,Spread,FavScore,DawgScore,Site,Distance from LS,Distance from HS,,,,,,,,,,,,,,,,,
1,16,2025,R64,Florida,Norfolk State,-28.5,95,69,Raleigh,476,150,,,,,,,,,,,,,,,,,
3,14,2025,R64,Kentucky,Troy,-11,76,57,Milwaukee,389,784,,,,,,,,,,,,,,,,,
7,10,2025,R64,Marquette,New Mexico,-4.5,66,75,Cleveland,336,1418,,,,,,,,,,,,,,,,,
4,13,2025,R64,Arizona,Akron,-14,93,65,Seattle,1219,2042,,,,,,,,,,,,,,,,,
8,9,2025,R64,UConn,Oklahoma,-6,67,59,Raleigh,540,1057,,,,,,,,,,,,,,,,,
6,11,2025,R64,Illinois,Xavier,-4,86,73,Milwaukee,204,323,,,,,,,,,,,,,,,,,
2,15,2025,R64,Michigan St,Bryant,-17,87,62,Cleveland,165,529,,,,,,,,,,,,,,,,,
5,12,2025,R64,Oregon,Liberty,-7,81,52,Seattle,249,2277,,,,,,,,,,,,,,,,,
8,9,2025,R64,Louisville,Creighton,-2.5,75,89,Lexington,70,647,,,,,,,,,,,,,,,,,
8,9,2024,R64,Mississippi State,Michigan State,1.5,51,69,Charlotte,470,552,,,,,,,,,,,,,,,,,
6,11,2024,R64,BYU,Duquesne,-9,67,71,Omaha,824,834,,,,,,,,,,,,,,,,,
3,14,2024,R64,Creighton,Akron,-12,77,60,Denver,487,1235,,,,,,,,,,,,,,,,,
2,15,2024,R64,Arizona,Long Beach State,-20.5,85,65,Salt Lake City,592,591,,,,,,,,,,,,,,,,,
1,16,2024,R64,North Carolina,Wagner,-25.5,90,62,Charlotte,111,523,,,,,,,,,,,,,,,,,
3,14,2024,R64,Illinois,Morehead State,-11,85,69,Omaha,412,697,,,,,,,,,,,,,,,,,
6,11,2024,R64,South Carolina,Oregon,-2.5,73,87,Pittsburgh,449,2192,,,,,,,,,,,,,,,,,
7,10,2024,R64,Dayton,Nevada,1.5,63,60,Salt Lake City,1456,427,,,,,,,,,,,,,,,,,
7,10,2024,R64,Texas,Colorado State,-3,56,44,Des Moines,814,601,,,,,,,,,,,,,,,,,
3,14,2024,R64,Kentucky,Oakland,-13,76,80,Pittsburgh,293,227,,,,,,,,,,,,,,,,,
2,15,2024,R64,Iowa State,South Dakota State,-15.5,82,65,Omaha,130,216,,,,,,,,,,,,,,,,,
5,12,2024,R64,Gonzaga,McNeese,-6.5,86,65,Salt Lake City,549,1274,,,,,,,,,,,,,,,,,
2,15,2024,R64,Tennessee,Saint Peter's,-22,83,49,Charlotte,181,531,,,,,,,,,,,,,,,,,
6,11,2024,R64,Texas Tech,NC State,-5,67,80,Pittsburgh,1292,330,,,,,,,,,,,,,,,,,
7,10,2024,R64,Washington State,Drake,1,66,61,Omaha,1118,120,,,,,,,,,,,,,,,,,
4,13,2024,R64,Kansas,Samford,-7.5,93,89,Salt Lake City,891,1468,,,,,,,,,,,,,,,,,
8,9,2024,R64,Florida Atlantic,Northwestern,-4.5,65,77,Brooklyn,1050,718,,,,,,,,,,,,,,,,,
3,14,2024,R64,Baylor,Colgate,-14.5,92,67,Memphis,477,941,,,,,,,,,,,,,,,,,
5,12,2024,R64,San Diego State,UAB,-6.5,69,65,Spokane,1029,1863,,,,,,,,,,,,,,,,,
2,15,2024,R64,Marquette,Western Kentucky,-15,87,69,Indianapolis,244,194,,,,,,,,,,,,,,,,,
6,11,2024,R64,Clemson,New Mexico,2,77,56,Memphis,410,937,,,,,,,,,,,,,,,,,
